Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Alnabru,59.926681499999994,10.8364981,Staples,59.923053420246475,10.837054137761607,Paper / Office Supplies Store
Alnabru,59.926681499999994,10.8364981,Alnabruveien,59.92402779665765,10.835225492757832,Bus Station
Alnabru,59.926681499999994,10.8364981,Smalvollveien/Tittutveien (B),59.92504405610593,10.842561721801758,Bus Station
Ellingsrud,59.9341909,10.920897300000002,Munkebekken,59.93285073108687,10.918714698899247,Bed & Breakfast
Ellingsrud,59.9341909,10.920897300000002,Ellingsrudåsen (T),59.936238204718016,10.91661141088552,Metro Station
Ellingsrud,59.9341909,10.920897300000002,Ellingsrud Fleridrettshall,59.932881536529926,10.926221500635254,Gym / Fitness Center
Ellingsrud,59.9341909,10.920897300000002,Kiwi,59.93628212601952,10.916656287590607,Grocery Store
Ellingsrud,59.9341909,10.920897300000002,Kolonial.no Fulfillment Center,59.933238,10.929207,Warehouse Store
Furuset,59.9410674,10.896398699999999,Furuset Senter,59.94129803872985,10.897799665813759,Shopping Mall
Furuset,59.9410674,10.896398699999999,Rema 1000 Furuset,59.94218627,10.89744934,Supermarket
Furuset,59.9410674,10.896398699999999,Furuset Forum,59.94052521201159,10.896899929251063,Hockey Arena
Furuset,59.9410674,10.896398699999999,Furuset (T),59.94122838132008,10.897932157900481,Metro Station
Haugerud,59.9221162,10.854522,Bare Trening Haugerud,59.92228462296237,10.856815608716563,Gym
Haugerud,59.9221162,10.854522,Coop Extra,59.92216430090819,10.856913507624705,Grocery Store
Haugerud,59.9221162,10.854522,Haugerud (T),59.92211568276591,10.854442183290047,Metro Station
Hellerud,59.910067299999994,10.8298389,R10 - Oslo - Lillehammer - Buss for tog,59.913724619292694,10.829735953943908,Moving Target
Hellerud,59.910067299999994,10.8298389,Linje 3,59.91096721333395,10.82201424518141,Moving Target
Hellerud,59.910067299999994,10.8298389,Godlia (T),59.907027,10.835947,Metro Station
Lindeberg,59.9331552,10.882705999999999,Lindeberg (T),59.932820651262055,10.881985904035426,Metro Station
Lindeberg,59.9331552,10.882705999999999,Norfloor AS,59.93583735670931,10.882311808964795,Furniture / Home Store
Lindeberg,59.9331552,10.882705999999999,MC Oslo,59.935984,10.877865,Motorcycle Shop
Lindeberg,59.9331552,10.882705999999999,Rimi,59.936062835761575,10.888824792710794,Grocery Store
Lindeberg,59.9331552,10.882705999999999,Prix,59.92928279210248,10.879272407509493,Grocery Store
Lindeberg,59.9331552,10.882705999999999,Kiwi,59.93612508499234,10.888759934473455,Grocery Store
Trosterud,59.9271816,10.8652575,Café Memento Vivere,59.92706758065479,10.865640461007585,Café
Trosterud,59.9271816,10.8652575,Park Inn by Radisson Hotel & Conference Centre Oslo Alna,59.93013,10.86825,Hotel
Trosterud,59.9271816,10.8652575,Radisson Blu Hotel Alna,59.930266206517366,10.868274091379302,Hotel
Trosterud,59.9271816,10.8652575,Trosterud (T),59.926973253506816,10.865546579651896,Metro Station
Trosterud,59.9271816,10.8652575,Bohus Alna,59.92949727984075,10.867240538138635,Furniture / Home Store
Trosterud,59.9271816,10.8652575,Bohus,59.929648636449315,10.867172665894033,Furniture / Home Store
Trosterud,59.9271816,10.8652575,Trosterud ved E6,59.929746645122385,10.863788798057913,Bus Station
Trosterud,59.9271816,10.8652575,Jysk,59.929871988607296,10.86710850582043,Furniture / Home Store
Trosterud,59.9271816,10.8652575,Trosterud,59.929965,10.86737,Pedestrian Plaza
Trosterud,59.9271816,10.8652575,XERVON Norway AS,59.9292414,10.8608282,Construction & Landscaping
Trosterud,59.9271816,10.8652575,Circle K,59.93027030093564,10.867667021011584,Convenience Store
Trosterud,59.9271816,10.8652575,Betula Restaurant,59.930548,10.868104,Breakfast Spot
Trosterud,59.9271816,10.8652575,Kiwi,59.92697304032684,10.86544566514962,Grocery Store
Trosterud,59.9271816,10.8652575,McDonald's,59.93082057253664,10.868516684941735,Fast Food Restaurant
Tveita,59.9140313,10.8422413,SATS,59.91659135353708,10.848329941416864,Gym / Fitness Center
Tveita,59.9140313,10.8422413,Meny,59.91444476315036,10.841951146359877,Grocery Store
Tveita,59.9140313,10.8422413,GameStop,59.913786,10.841221,Video Game Store
Tveita,59.9140313,10.8422413,W. B. Samson,59.913746494882915,10.843709926174801,Bakery
Tveita,59.9140313,10.8422413,Tveita (T),59.913833589678816,10.842068231936452,Metro Station
Tveita,59.9140313,10.8422413,Narvesen,59.91376513,10.84214655,Convenience Store
Tveita,59.9140313,10.8422413,Tveita (B),59.91294946337143,10.844357177465396,Bus Stop
Tveita,59.9140313,10.8422413,REMA 1000 Hellerud,59.91657824,10.84848391,Supermarket
Linderud,59.94096329999999,10.8384197,SATS,59.943086881913054,10.835261325655814,Gym / Fitness Center
Linderud,59.94096329999999,10.8384197,Jordbærpikene,59.942909104422355,10.835812989090847,Café
Linderud,59.94096329999999,10.8384197,W. B. Samson,59.943063623512366,10.835457854671455,Bakery
Linderud,59.94096329999999,10.8384197,Vinmonopolet (Linderud),59.943149971724054,10.835356743527699,Wine Shop
Linderud,59.94096329999999,10.8384197,ICA Maxi Linderud,59.94316,10.835278,Grocery Store
Linderud,59.94096329999999,10.8384197,Bislett Kebab House,59.94402023914587,10.832874152790623,Fast Food Restaurant
Tonsenhagen,59.9476956,10.827077699999998,Kiwi tonsenhagen,59.94736236044841,10.822650176466636,Grocery Store
