Borough,Neighborhood,Latitude,Longitude
Alna,Alnabru,59.926681499999994,10.8364981
Alna,Ellingsrud,59.9341909,10.920897300000002
Alna,Furuset,59.9410674,10.896398699999999
Alna,Haugerud,59.9221162,10.854522
Alna,Hellerud,59.910067299999994,10.8298389
Alna,Lindeberg,59.9331552,10.882705999999999
Alna,Trosterud,59.9271816,10.8652575
Alna,Tveita,59.9140313,10.8422413
Bjerke,Linderud,59.94096329999999,10.8384197
Bjerke,Tonsenhagen,59.9476956,10.827077699999998
Bjerke,Årvoll,59.945281099999995,10.8098679
Bjerke,Veitvet,59.9445298,10.846938900000001
Bjerke,Økern,59.9282615,10.8062778
Bjerke,Risløkka,59.9325069,10.8231305
Frogner,Bygdøy,59.90852389999999,10.6769071
Frogner,Frogner,59.9222241,10.7066491
Frogner,Majorstuen,59.9291529,10.7153089
Frogner,Uranienborg,59.920435600000005,10.7210202
Gamle Oslo,Ekebergskråningen,59.8915578,10.763133999999999
Gamle Oslo,Enerhaugen,59.913294400000005,10.7691243
Gamle Oslo,Ensjø,59.9144152,10.788475
Gamle Oslo,Etterstad,59.9081199,10.7989463
Gamle Oslo,Gamlebyen,59.9043544,10.769846000000001
Gamle Oslo,Grønland,59.9127953,10.7601614
Gamle Oslo,Helsfyr,59.9143915,10.7977903
Gamle Oslo,Kampen,59.9127314,10.7802475
Gamle Oslo,Tøyen,59.9157566,10.7757946
Gamle Oslo,Vålerenga,59.9073438,10.7846849
Gamle Oslo,Valle-Hovin,59.918346,10.804679199999999
Grorud,Grorud,59.961424300000004,10.880548800000001
Grorud,Ammerud,59.95830079999999,10.8720569
Grorud,Grorud,59.961424300000004,10.880548800000001
Grorud,Kalbakken,59.9547781,10.8669584
Grorud,Rødtvet,59.951393700000004,10.8594171
Grorud,Nordtvet,59.950615500000005,10.8744234
Grorud,Romsås,59.9626149,10.8924614
Grünerløkka,Grünerløkka,59.9254713,10.7774212
Nordre Aker,Gaustad,59.9460976,10.710358
Nordre Aker,Øvre Blindern,59.937430000000006,10.71819
Nordre Aker,Ullevål Hageby,59.9407998,10.7290446
Nordre Aker,Kringsjå,59.963671600000005,10.7349676
Nordre Aker,Korsvoll,59.960746900000004,10.75732
Nordre Aker,Tåsen,59.9538644,10.7523093
Nordre Aker,Ullevål,59.9413211,10.737310899999999
Nordre Aker,Berg,59.9512469,10.7453664
Nordre Aker,Nydalen,59.9502664,10.767757099999999
Nordre Aker,Storo,59.9451424,10.7776838
Nordre Aker,Frysja,59.9667451,10.7700746
Nordre Aker,Kjelsås,59.9660621,10.7830301
Nordre Aker,Grefsen,59.9418161,10.7804364
Nordstrand,Nordstrand,59.863524600000005,10.7858304
Nordstrand,Bekkelaget,59.88142239999999,10.7757743
Nordstrand,Lambertseter,59.873363600000005,10.8103713
Nordstrand,Ljan,59.8529973,10.785098800000002
Sagene,Sagene,59.938272899999994,10.7658488
Sagene,Bjølsen,59.941464,10.7600104
Sagene,Torshov,59.935142500000005,10.767491900000001
St. Hanshaugen,St. Hanshaugen,59.927949899999994,10.738958300000002
Stovner,Stovner,59.962140299999994,10.922823199999998
Søndre Nordstrand,Holmlia,59.834604399999996,10.796658599999999
Søndre Nordstrand,Hvervenbukta,59.8330745,10.7713263
Søndre Nordstrand,Mortensrud,59.849286600000006,10.8296983
Søndre Nordstrand,Hauketo,59.8470147,10.8060274
Søndre Nordstrand,Prinsdal,59.8343061,10.8117185
Søndre Nordstrand,Bjørndal,59.82652170000001,10.8372025
Ullern,Lysejordet,59.933465000000005,10.639462
Ullern,Øraker,59.927656400000004,10.6318743
Ullern,Lilleaker,59.9239031,10.6329124
Ullern,Sollerud,59.9179166,10.642390400000002
Ullern,Vækerø,59.914676799999995,10.6542705
Ullern,Bestum,59.920263,10.656831500000001
Ullern,Ullern,59.9258182,10.665131800000001
Ullern,Bjørnsletta,59.9265137,10.6344871
Ullern,Ullernåsen,59.93147439999999,10.6560118
Ullern,Montebello,59.934823,10.6664405
Ullern,Hoff,59.92984770000001,10.675330699999998
Ullern,Skøyen,59.9247563,10.6859424
Vestre Aker,Holmenkollen,59.9602991,10.6627086
Vestre Aker,Tryvann,59.986705799999996,10.666887
Vestre Aker,Vinderen,59.9428015,10.704988400000001
Vestre Aker,"Smestad, Oslo",59.9372123,10.6841614
Østensjø,Bøler,59.8842714,10.845545199999998
Østensjø,Manglerud,59.8980022,10.8127548
