Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Trastevere,41.883764899999996,12.471269900000001,B&B Trastevere 94,41.883237219845654,12.469010353088379,Bed & Breakfast
Trastevere,41.883764899999996,12.471269900000001,Hotel San Francesco,41.88495491835921,12.472535671124605,Hotel Bar
Trastevere,41.883764899999996,12.471269900000001,Akropolis,41.88601514734134,12.472539458114017,Greek Restaurant
Trastevere,41.883764899999996,12.471269900000001,Nuovo Sacher,41.884559751277905,12.472520592257489,Indie Movie Theater
Trastevere,41.883764899999996,12.471269900000001,Fatamorgana,41.88650806834306,12.469335974851834,Ice Cream Shop
Trastevere,41.883764899999996,12.471269900000001,isuppli,41.88717439380439,12.471818335901482,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Conad,41.886379,12.471918,Supermarket
Trastevere,41.883764899999996,12.471269900000001,Antica Caciara,41.88732271736757,12.471761956342371,Deli / Bodega
Trastevere,41.883764899999996,12.471269900000001,Le LEVAIN,41.88710363088132,12.468741766027662,Breakfast Spot
Trastevere,41.883764899999996,12.471269900000001,Cantina Ripagrande,41.88580732628937,12.472720378929601,Café
Trastevere,41.883764899999996,12.471269900000001,Sisini,41.88714479692402,12.471879395026964,Pizza Place
Trastevere,41.883764899999996,12.471269900000001,Piazza di San Cosimato,41.88732156951292,12.469496931098224,Plaza
Trastevere,41.883764899999996,12.471269900000001,Lo Scopettaro,41.882386435351556,12.475067902175859,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Caffé Belli,41.886244001744686,12.47173304838431,Café
Trastevere,41.883764899999996,12.471269900000001,Suppli,41.887072,12.471746,Pizza Place
Trastevere,41.883764899999996,12.471269900000001,Hostaria Luce,41.886214,12.473157,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Piazza dell'Emporio,41.88284996775813,12.476241553618719,Plaza
Trastevere,41.883764899999996,12.471269900000001,Antico Forno a Testaccio,41.88081,12.47422,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,La Fraschetta,41.88698967667409,12.471846043614619,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Big Star,41.88709576292156,12.467868451363964,Cocktail Bar
Trastevere,41.883764899999996,12.471269900000001,Chiesa di Santa Maria dell'Orto,41.88675855992954,12.474791349668175,Church
Trastevere,41.883764899999996,12.471269900000001,Ristorante Alle Fratte Di Trastevere,41.88791166399696,12.471742155502913,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,La Fonte della Salute,41.88792593992742,12.473242020963495,Ice Cream Shop
Trastevere,41.883764899999996,12.471269900000001,Rec23,41.88260685635553,12.476173679582814,Cocktail Bar
Trastevere,41.883764899999996,12.471269900000001,Teatro Trastevere,41.88521520407012,12.472535098875348,Theater
Trastevere,41.883764899999996,12.471269900000001,Da Vittorio,41.88814181856848,12.470315582751244,Pizza Place
Trastevere,41.883764899999996,12.471269900000001,Remo,41.880931277448795,12.475499001484847,Pizza Place
Trastevere,41.883764899999996,12.471269900000001,Mr. Clood,41.88788688712564,12.470776744175657,Restaurant
Trastevere,41.883764899999996,12.471269900000001,Capo De Fero,41.887970881494496,12.470351264842991,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,tiramisu,41.887147,12.471877,Ice Cream Shop
Trastevere,41.883764899999996,12.471269900000001,Bar Picchioti,41.88733477468489,12.469112277030945,Café
Trastevere,41.883764899999996,12.471269900000001,Giolitti,41.881961923607975,12.475770761211322,Ice Cream Shop
Trastevere,41.883764899999996,12.471269900000001,Ivo a Trastevere,41.8881148485283,12.471200568880098,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Baylon Cafe,41.88778,12.47135,Café
Trastevere,41.883764899999996,12.471269900000001,I Gio,41.88702385212187,12.46934484029765,Korean Restaurant
Trastevere,41.883764899999996,12.471269900000001,Buffalo Bill,41.888014,12.471232,Burger Joint
Trastevere,41.883764899999996,12.471269900000001,Nuovo Mondo,41.88222405486068,12.47609215333735,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Piazza Mastai,41.887448197283796,12.473089203346222,Plaza
Trastevere,41.883764899999996,12.471269900000001,Otaleg,41.888142262993874,12.47037275543616,Ice Cream Shop
Trastevere,41.883764899999996,12.471269900000001,Piazza di Porta Portese,41.88396783792419,12.47418833431105,Historic Site
Trastevere,41.883764899999996,12.471269900000001,Trattoria Da Paolo,41.88542284085241,12.472870837732536,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Relais Le Clarisse Hotel Rome,41.88734667975975,12.472585164216474,Hotel
Trastevere,41.883764899999996,12.471269900000001,Romeo Chef & Baker,41.882583,12.476718,Italian Restaurant
Trastevere,41.883764899999996,12.471269900000001,Mercato di Porta Portese,41.88299105526064,12.473145194596697,Flea Market
Trastevere,41.883764899999996,12.471269900000001,Lettere Caffe,41.88585703763375,12.472686428402193,Café
Trastevere,41.883764899999996,12.471269900000001,Osteria Pucci,41.887659358869485,12.473009907701378,Italian Restaurant
