Borough,Neighborhood,Latitude,Longitude
Historical Center,Trastevere,41.8837649,12.4712699
Historical Center,Aventino,41.8828249,12.4868186
Historical Center,Esquilino,41.8980442,12.4988632
Historical Center,XX Settembre,41.9061512,12.4968951
Parioli/Nomentano,Villaggio Olimpico,41.9329657,12.4741574
Parioli/Nomentano,Parioli,41.925949,12.4873205
Parioli/Nomentano,Flaminio,41.9128288,12.4771394
Parioli/Nomentano,Salario,41.922978,12.5026364
Parioli/Nomentano,Villa Borghese,41.9143237,12.4837893
Parioli/Nomentano,Villa Ada,41.931603,12.5022928
Parioli/Nomentano,Nomentano,41.9170024,12.5129177
Monte Sacro,Monte Sacro,41.9324017,12.5341258
Monte Sacro,Val Melaina,41.9325718,12.5230847
Monte Sacro,Fidene,41.9790986,12.5084683
Monte Sacro,Serpentara,41.9651437,12.5141887
Monte Sacro,Casal Boccone,41.960373,12.5563015
Monte Sacro,Conca d'Oro,41.9397676,12.528141
Monte Sacro,Sacco Pastore,41.9318381,12.5268203
Monte Sacro,Tufello,41.6403125,12.6528594
Monte Sacro,Settebagni,42.0061004,12.5216453
Monte Sacro,Bufalotta,41.9847913,12.5515472
Monte Sacro,Tor San Giovanni,42.0071342,12.6067045
Tiburtina,Casal Bertone,41.8970696,12.5325389
Tiburtina,Casal Bruciato,41.9097937,12.5505298
Tiburtina,Tiburtino Nord,41.9424923,12.6528719
Tiburtina,Tiburtino Sud,41.9132736,12.5699095
Tiburtina,Tor Cervara,41.9116848,12.5887091
Tiburtina,Pietralata,41.9149254,12.5550931
Tiburtina,Casal de' Pazzi,41.9283379,12.5638189
Tiburtina,Settecamini,41.9396308,12.6254107
Prenestino/Centocelle,Torpignattara,41.8801549,12.5423768
Prenestino/Centocelle,Casilino,41.8892679,12.5220772
Prenestino/Centocelle,Quadraro,41.8661562,12.5470813
Prenestino/Centocelle,Gordiani,41.892583,12.5531969
Prenestino/Centocelle,Centocelle,41.8747757,12.5625658
Prenestino/Centocelle,Alessandrina,41.8785631,12.545482
Prenestino/Centocelle,Tor Sapienza,41.9059055,12.5879026
Prenestino/Centocelle,La Rustica,41.9125488,12.6218186
